area,coins,danmakus,episodes_aid,episodes_duration,favorites,media_id,name,season_id,style,views,years
中国大陆,225051.0,963952.0,"OrderedDict([('无肉不欢', '25211748'), ('比夜更黑', '25246609'), ('来点解药', '25675770'), ('牙的抗议', '26122487'), ('骨头骨头', '26630755'), ('朝圣之地', '27160474')])","[31, 30, 34, 33, 33, 40]",1056446.0,97952,人生一串,24439,"['美食', '社会']",50527809.0,2018
中国大陆,206632.0,600187.0,"OrderedDict([('故宫博物院-与世界链接', '37816826'), ('广东省博物馆-海上丝路起点', '38333520'), ('河北博物院-奏汉唐华章', '38874439'), ('四川博物院-天府之国生欢喜之美', '39457112'), ('云南省博物馆-彩云之南繁花似锦', '40113663'), ('新疆维吾尔自治区博物馆', '40679924'), ('甘肃博物馆-守河西魂魄，传丝路文明', '41256519'), ('山东博物馆-齐鲁之地率天下之礼', '41889476'), ('山西博物院-三晋大地风起云涌', '42478864'), ('2019年特展之夜', '43072823')])","[99, 97, 97, 96, 94, 96, 97, 96, 96, 121]",517043.0,4308862,国家宝藏 第二季,26017,"['历史', '人文', '社会']",22429651.0,2018
中国大陆,559669.0,1207314.0,"OrderedDict([('故宫博物院-紫微星之城', '16924077'), ('湖北省博物馆-火与铜的共舞', '17149096'), ('河南省博物院-上古文明开源之地', '17368257'), ('陕西历史博物馆-四朝文明定鼎天下', '17592153'), ('辽宁省博物馆-新中国的第一座博物馆', '18079100'), ('湖南省博物馆-见证华夏文明多源头格局', '18315744'), ('上海博物馆-包罗中国古代艺术万象', '18574588'), ('浙江省博物馆-传颂千年越地长歌', '18861292'), ('南京博物院-中国三大博物馆之一', '19152586'), ('特展揭晓盛典', '19480735')])","[100, 103, 103, 103, 104, 105, 105, 107, 107, 130]",376812.0,11592,国家宝藏 第一季,21715,"['人文', '历史', '社会']",20150761.0,2017
中国大陆,174627.0,200807.0,"OrderedDict([('在下东坡 一个吃货', '34378889'), ('我在我家偷文物', '34379524'), ('请回答604', '34983906'), ('一口锅的逆袭', '35469338'), ('魏晋奇葩·傅粉何郎', '35885692'), ('魏晋奇葩·爱豆嵇康', '36375222'), ('爱发弹幕的乾隆同学', '36881728'), ('古战场二三事·兵器篇', '37413958')])","[28, 27, 23, 23, 25, 20, 21, 24]",683210.0,139572,历史那些事,25810,"['历史', '人文']",12772487.0,2018
中国大陆,41846.0,213416.0,"OrderedDict([('警务先锋', '36059697'), ('冲动的代价', '36593549'), ('平安绣花针·上', '37140983'), ('平安绣花针·下', '37676738'), ('风雨来临时', '38160924'), ('非常时刻', '38683812'), ('亲爱的小孩', '39288484'), ('都市守夜人', '39958770'), ('同一屋檐下', '40533505'), ('沙场秋点兵', '41113763'), ('天眼与地勤', '41733762'), ('我的选择', '42419079')])","[46, 50, 52, 46, 51, 45, 45, 49, 43, 52, 49, 57]",272120.0,4309122,巡逻现场实录2018,26025,['社会'],9916647.0,2018
中国大陆,57818.0,197601.0,"OrderedDict([('埃及：不惧时间的金字塔', '17376693'), ('埃及：诡异的金字塔内部探秘', '17376693'), ('埃及：狂奔在千年阿斯旺古庙', '17376693'), ('埃及：卢克索沉睡的美女木乃伊', '17376693'), ('埃及：丹达拉神秘地宫未解之谜', '17376693'), ('埃及：尼罗河我从未离开过你', '17376693'), ('土耳其：寻找史诗中的特洛伊木马', '17376693'), ('土耳其：小亚细亚千年以弗所和古墓', '17376693'), ('土耳其：远古地下迷宫和遗存', '17376693'), ('土耳其：梦幻气球眺望棉花堡比基尼', '17376693'), ('土耳其：费特希耶揭秘旅行骗术', '17376693'), ('土耳其：寻觅地下水水宫妖女美杜莎', '17376693'), ('土耳其：与神灵对话的神奇旋转舞', '17376693'), ('希腊：与米克诺斯神兽激情对话', '17376693'), ('希腊：走进被遗忘的蓝顶教堂', '17376693'), ('希腊： 爱情海日落的旷世之吻', '17376693'), ('希腊：奥林匹斯主神的神秘居所', '17376693'), ('希腊：从奥运的摇篮到金面具神话', '17376693'), ('法国： 巴黎地下墓室惊魂记', '17376693'), ('法国： 圣心堂下的恐怖罪孽', '17376693'), ('法国： 吉普赛神偷与木乃伊诅咒', '17376693'), ('西班牙：远古教堂的太空人预言', '17376693'), ('西班牙：高迪建筑于都市梦魇', '17376693'), ('西班牙：迷宫墓地外的佛拉明戈', '17376693'), ('意大利：八千具木乃伊的怨咒', '17376693'), ('意大利：西西里岛的密室石棺', '17376693'), ('意大利：木乃伊哭诉庞贝末日', '17376693'), ('意大利：沉睡的维苏威火龙', '17376693'), ('荷兰：十大酷刑尸解海牙监狱', '17376693'), ('荷兰：杀人蜂潜伏神秘花园', '17376693'), ('荷兰：闯入梵高的奇幻梦境', '17376693'), ('比利时：骷髅骸骨深藏教堂密室', '17376693'), ('比利时：基友广场的同性婚礼', '17376693'), ('比利时：揭秘一千套童装的孩子', '17376693'), ('卢森堡：追踪卢森古堡的拒葬鬼魂', '17376693'), ('卢森堡：西欧土豪国的神秘生活', '17376693'), ('德国：逃离克隆丐帮爪牙', '17376693'), ('德国：克隆塔顶的天书密码', '17376693'), ('德国：柏林追踪古埃及木乃伊', '17376693'), ('德国：突击柏林墙残酷生活', '17376693'), ('捷克：人骨教堂召唤丧尸归来', '17376693'), ('捷克：苏醒的布拉格千年魔咒', '17376693'), ('捷克：乔布斯还魂查理大桥', '17376693'), ('斯洛伐克：夜访食人美女血腥玛丽', '17376693'), ('波兰：奥斯维辛焚尸炉的白骨', '17376693'), ('波兰：活剥人皮的纳粹美女', '17376693'), ('维也纳：墓地被翘起的棺材盖', '17376693'), ('匈牙利：凶残骗术的致命蛊惑', '17376693'), ('匈牙利：暗访热辣赤身浴美女', '17376693'), ('斯洛文尼亚：天空之城踢屁股的威胁', '17376693'), ('斯洛文尼亚： 窥视火龙古堡的亡灵', '17376693'), ('克罗地亚：恐怖旅馆未解悬案', '17376693'), ('克罗地亚：食人鲨之口血拼记', '17376693'), ('尼泊尔：献给女神的十万颗头颅', '17376693'), ('尼泊尔：尼泊尔卖shen村的惨剧', '17376693'), ('印度：印度教烧尸惊魂夜', '17376693'), ('尼泊尔：克夫女童婚姻必死预言', '17376693'), ('尼泊尔：被当街凌辱的女人', '17376693'), ('尼泊尔：苦笑山林的无人鬼船', '17376693'), ('尼泊尔：二百人被活埋的高塔', '17376693'), ('印度：被奸尸挂在树上的少女', '17376693'), ('印度：远古爱庙复活的女神', '17376693'), ('印度：走进毒气挖眼的死城', '17376693'), ('印度：乱坟岗上的餐厅', '17376693'), ('印度：泰姬艳后尸体保存之谜', '17376693'), ('印度：外星壁画揭秘远古高科技', '17376693'), ('印度：与恒河浮尸共同沐浴', '17376693'), ('墨西哥：墨西哥唐人街探案', '17376693'), ('墨西哥：索诺拉女巫密室通灵术', '17376693'), ('墨西哥：僵尸新娘的木乃伊传奇', '17376693'), ('墨西哥：鬼娃娃岛的死婴寻仇记', '17376693'), ('墨西哥：偷尸体的女人', '17376693'), ('墨西哥：活挖心脏眺望外星神明', '17376693'), ('墨西哥：金字塔木乃伊盗墓传奇', '17376693'), ('日本：街头女魂断红灯之町', '17376693'), ('日本：短裙学妹与抑郁杀手', '17376693'), ('日本：贫民窟瘟疫揭泡沫经济', '17376693'), ('日本：广岛核辐射与变异物种', '17376693'), ('日本：稻草人村招魂的婆婆', '17376693'), ('日本：犬鸣隧道尘封的女鬼', '17376693'), ('日本：青木原树海自杀者遗骸', '17376693'), ('古巴：发廊妖姬的舌尖蜜橘', '17376693'), ('古巴：贴身舞女的致命拉客', '17376693'), ('古巴：八十岁老太色诱未遂', '17376693'), ('古巴：雪茄黑市团伙的绞刑', '17376693'), ('古巴：切格瓦拉墓闹鬼传闻', '17376693'), ('印度：扛妻子尸体回家的男人', '17376693'), ('印度：与鼠王共饮用手指如厕', '34078342'), ('印度：梦中杀人的木偶', '34080236'), ('印度：塔尔沙漠坟头鬼火', '34080517'), ('巴基斯坦：自宫人妖的秘密基地', '34080746'), ('巴基斯坦：真纳墓探秘水晶灯奇缘', '34083589'), ('巴基斯坦：惨死艳后的镜中鬼影', '34386389'), ('巴基斯坦：铁笼中预知未来的狐妖', '34388731'), ('巴基斯坦：食人兄弟的煮尸铁锅', '34435340'), ('巴基斯坦：战乱中滴血的无头佛', '34438771'), ('巴基斯坦：木乃伊公主梦断丝路空难', '34450997'), ('巴基斯坦：白沙瓦飞车大盗夺命惊魂', '34485390'), ('阿富汗：时刻被轰炸的喀布尔', '34485786'), ('阿富汗：墓地里与尸体共住的儿童', '34485979'), ('阿富汗：怒揭罩袍内的致命美颜', '34563897'), ('阿富汗：乔装逃离巴米扬死亡工', '34569969'), ('阿富汗：巴米扬大佛秘窟生死探秘', '34854290'), ('泰国：金钟罩般的古法刺青', '34864313'), ('泰国：集四面佛躺棺材转运传说', '34864459'), ('泰国：暹罗佛牌的护身之谜', '34864611'), ('泰国：集干尸招魂的鬼妻娜娜', '34864689'), ('泰国：半夜玩耍的孩子 古曼童', '34864867'), ('泰国：离奇身世的双头怪婴', '34864962'), ('迷案分析人体解剖室', '34872514'), ('泰国：金三角地区特殊人群现状', '34923851'), ('泰国：夜探传闻中的最猛鬼宅', '34923890'), ('缅甸：山野虫子生吞活剥', '34923919'), ('缅甸：铜环禁锢下的长颈族少女', '34923953'), ('缅甸：魔法学校的塔罗牌巫婆', '34924172'), ('缅甸：蒲甘古塔夜行的国王之灵', '34924254'), ('缅甸：诡异木偶杀人的传说', '34924296'), ('缅甸：缅甸新娘的跨国远嫁', '34924384'), ('阿塞拜疆：石油浴窥视神秘拜火教', '34924438'), ('阿塞拜疆：美女老板的甜涩讹诈', '34924493'), ('阿塞拜疆：七穹顶陵园地下墓室的水印', '34924548'), ('格鲁吉亚：斯大林的第比利斯地下印刷所', '34924980'), ('格鲁吉亚：硫磺浴长生不老的传说', '34925049'), ('格鲁吉亚：亲吻雕塑下和比基尼少女跳海', '34925268'), ('亚美尼亚：千里追踪诺亚方舟的碎片', '34925426'), ('纳卡教堂：神秘的回音现象', '34925475'), ('迪拜：寻找沙漠失踪的精绝城', '34926636'), ('迪拜：珊瑚村村民惊吓消失之谜', '34926791'), ('迪拜：迪拜闹鬼别墅探秘', '34926869'), ('迪拜：打工仔迪拜土豪国现实记录', '34927130'), ('柬埔寨：寻找女人岛女儿国（上）', '34927172'), ('柬埔寨：寻找女人岛女儿国（下）', '34927196'), ('柬埔寨：吴哥窟废墟深洞探秘', '34927249'), ('老挝：为祭祀跳入神坑的妇女', '34927293'), ('老挝：老挝春节风俗大观（上）', '34927318'), ('老挝：老挝春节风俗大观（下）', '35042692'), ('老挝：上天堂下地狱的佛像公园', '35051153'), ('老挝：佛像墓地黑影之谜', '35042910'), ('老挝：泼水节湿身美女嗨翻天', '35042967'), ('伊拉克：伊拉克颠沛流离的难民', '35043441'), ('伊拉克：两河流域空中花园的秘密', '35043895'), ('伊拉克：乌尔古城宝藏的未解之谜', '35044176'), ('伊拉克：巴别通天塔现实的遗存', '35044253'), ('伊拉克：枪械市场险象环生', '35045003'), ('法国：不腐烂的女尸贝尔纳黛特', '35045187'), ('丹麦：克里斯蒂安那的童话与预言', '35045436'), ('法国：剧院魅影大吊灯惨案之谜', '35045475'), ('西班牙：探秘巴萨足球场的金靴', '35045597'), ('英国：爱丁堡与伦敦塔地牢的哀嚎', '35045724'), ('英国：玛丽金街墙壁里的冤魂', '35049264'), ('英国：开膛手杰克白教堂迷案', '35049529'), ('韩国：夜探昆池岩精神病院', '35049814'), ('斯里兰卡：世界的尽头天降神鹿', '35049880'), ('斯里兰卡：佛牙寺神秘佛光', '35050048'), ('东南亚：寻找食血的原始部落', '35050700'), ('越南：胡志明市的奇葩生活', '35051792'), ('越南：越南新娘的美丽与哀愁', '35052683'), ('越南：传统风俗未解之谜', '35052804'), ('越南：芽庄乡村深入探奇', '35053048'), ('越南：神秘海岛探秘', '35053165'), ('巴厘岛：特鲁扬村竹笼干尸之谜', '34507224'), ('巴厘岛：印度教奇风异俗', '35053118'), ('巴厘岛：荒废的总统酒店午夜怪谈', '35483452'), ('巴厘岛：情人崖恋人殉情之谜', '35968672'), ('巴厘岛：大地震与海神庙的惊涛骇浪', '36490876'), ('朝鲜：中朝友谊的丰碑新义州', '37550994'), ('朝鲜：小小金达莱温暖全世界', '38142796'), ('朝鲜：变革思潮下的未来之都平壤城', '38990092'), ('朝鲜：世界最深地下铁驶向何方', '39660935'), ('朝鲜旅行娱乐指南：时尚生活萌芽初放', '40319495'), ('朝鲜：万景台学生少年宫文体两开花', '40369394'), ('朝鲜：射击馆的尖叫与激情', '41579578'), ('朝鲜：传说中的天然美女之国', '41629164'), ('朝鲜：高丽王朝古都开城国王墓穴探秘', '42121491'), ('朝鲜：层层掩盖下的真实农村', '43390337'), ('巴基斯坦：危在旦夕的白沙瓦犍陀罗艺术', '44764686'), ('孟加拉：毒气和垃圾中求生的孟加拉人', '45420382'), ('孟加拉：贫民窟禁锢下的穆斯林美女', '46070460'), ('孟加拉：罪恶庇护下的吉大港地下黑市', '46715618'), ('孟加拉：女人村一千间房屋里的秘密', '47403732')])","[14, 17, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 15, 17, 15, 16, 16, 14, 17, 15, 14, 18, 14, 22, 17, 14, 15, 16, 17, 15, 15, 14, 15, 15, 16, 18, 15, 15, 15, 15, 14, 15, 14, 14, 15, 19, 18, 17, 16, 17, 16, 18, 19, 17, 20, 14, 15, 25, 15, 19, 21, 16, 14, 20, 20, 16, 17, 17, 21, 19, 20, 21, 20, 21, 19, 20, 21, 25, 27, 26, 21, 18, 24, 21, 22, 21, 26, 26, 21, 24, 25, 22, 27, 29, 21, 41, 21, 21, 21, 21, 18, 31, 17, 22, 23, 24, 26, 30, 22, 27, 25, 32, 24, 26, 25, 27, 27, 25, 27, 24, 21, 25, 28, 16, 21, 21, 21, 17, 15, 26, 15, 12, 26, 24, 24, 23, 23, 15, 19, 18, 15, 18, 21, 15, 29, 22, 18, 18, 24, 29, 27, 35, 28, 21, 25, 21, 16, 17, 27, 28, 27, 25, 33, 44, 34, 44, 37, 34, 20, 25, 27, 23, 18]",113351.0,142552,冒险雷探长,25915,"['旅行', '社会', '探险']",8310860.0,2013
中国大陆,32978.0,14173.0,"OrderedDict([('鹰顶金冠饰', '27561333'), ('战国嵌错宴乐攻战纹铜壶', '27561333'), ('曾侯乙编钟', '27561333'), ('木雕双头镇墓兽', '27561333'), ('人物御龙帛画', '27561333'), ('跪射俑', '27640607'), ('战国商鞅方升', '27640586'), ('秦始皇陵铜车马', '27640689'), ('里耶秦简', '27640816'), ('南越汉玉', '27641625'), ('霍去病墓石刻', '27721033'), ('五星出东方锦护臂', '27720790'), ('四神纹玉铺首', '27721653'), ('熹平石经', '27721892'), ('孔子见老子画像石', '27722088'), ('长信宫灯', '27803024'), ('素纱单衣', '27803107'), ('二十八宿圆盘圭表', '27803622'), ('狸猫纹漆食盘', '27803720'), ('算筹', '27803862'), ('错金铜博山炉', '27884756'), ('长毋相忘铭合符银带钩', '27884630'), ('错金银云纹青铜犀尊', '27884600'), ('击鼓说唱陶俑', '27884880'), ('铜奔马', '27884841')])","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",257817.0,117072,如果国宝会说话 第二季,23618,"['历史', '人文']",7491182.0,2018
美国,24559.0,115278.0,"OrderedDict([('身陷困境', '28335367'), ('搭建住处', '28335367'), ('与鲨共舞', '28335367'), ('精彩回顾', '28335367')])","[43, 43, 43, 41]",322284.0,122412,荒岛余生,25249,['探险'],6292236.0,2013
美国,15896.0,102124.0,"OrderedDict([('空降撒哈拉', '31012884'), ('沙漠保命', '31012884'), ('巴拿马丛林', '31012884'), ('丛林保命', '31012884'), ('巴塔哥尼亚高原', '31012884'), ('安第斯大冒险', '31012884'), ('野外求生饮食篇', '31012884'), ('西伯利亚 上集', '31012884'), ('西伯利亚 下集', '31012884'), ('纳米比亚', '31012884'), ('赞比亚', '31012884'), ('火山带上集', '31012884'), ('火山带下集', '31012884')])","[43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43]",265007.0,129792,荒野求生 第二季,25487,['探险'],5769391.0,2007
中国大陆,11166.0,32671.0,"OrderedDict([('味道江湖', '44821614'), ('大地珍馐', '44760898'), ('百废作馔', '45499339'), ('天赐神器', '46151096'), ('化作鲜美', '46806791'), ('油燃而生', '47416433')])","[30, 29, 30, 30, 29, 30]",186547.0,17168068,川味 第三季（四川话配音）,26637,"['美食', '人文']",5264649.0,2019
